response,pairA_1,pairA_2,pairB_1,pairB_2,subject
1,2.00712864,3.228859116,4.101523742,5.846852994,2
1,0.523598776,1.919862177,2.094395102,3.752457892,2
1,4.188790205,5.672320069,0.436332313,3.577924967,2
1,4.36332313,4.625122518,0.610865238,0.959931089,2
1,1.047197551,1.919862177,2.705260341,4.36332313,2
1,3.839724354,4.01425728,4.276056667,6.108652382,2
1,3.490658504,4.886921906,1.745329252,2.35619449,2
0,0,2.792526803,2.879793266,3.054326191,2
1,1.483529864,1.570796327,2.181661565,4.188790205,3
1,3.665191429,4.974188368,2.181661565,2.268928028,3
1,1.308996939,3.403392041,4.276056667,5.148721293,3
0,1.745329252,2.617993878,4.886921906,5.235987756,3
1,2.181661565,2.879793266,3.839724354,6.195918845,3
1,4.886921906,5.497787144,5.759586532,6.195918845,3
1,2.268928028,2.617993878,0.872664626,2.181661565,3
0,0.174532925,3.316125579,5.148721293,5.497787144,3
1,0.523598776,1.396263402,4.974188368,6.195918845,3
1,4.799655443,5.497787144,1.221730476,2.617993878,3
0,0,1.483529864,2.443460953,2.792526803,3
1,4.01425728,4.799655443,0.087266463,2.443460953,3
0,4.886921906,5.846852994,1.832595715,3.403392041,3
0,0.872664626,2.00712864,4.01425728,4.101523742,3
1,0,0.698131701,1.483529864,4.101523742,3
1,3.926990817,4.537856055,4.974188368,5.934119457,3
0,4.188790205,6.108652382,0.087266463,1.047197551,3
1,2.443460953,2.530727415,3.490658504,4.276056667,3
0,3.228859116,4.886921906,0.959931089,1.658062789,3
0,2.35619449,6.108652382,1.483529864,1.919862177,3
0,4.625122518,6.108652382,0.872664626,1.745329252,3
1,0.174532925,2.268928028,2.443460953,5.846852994,3
0,3.490658504,5.934119457,2.35619449,3.054326191,3
0,1.221730476,2.705260341,4.886921906,5.410520681,3
1,1.134464014,2.443460953,4.36332313,5.323254219,3
0,1.396263402,4.71238898,0.087266463,0.174532925,3
1,0.261799388,0.610865238,0.698131701,4.01425728,3
0,1.396263402,2.705260341,1.134464014,1.221730476,3
1,5.585053606,5.672320069,2.705260341,4.188790205,3
1,0.610865238,3.141592654,4.101523742,5.672320069,3
1,3.665191429,4.799655443,0.34906585,1.221730476,3
1,3.316125579,4.625122518,0.174532925,0.872664626,3
